make -C bluesim --no-print-directory run
LD_PRELOAD=libSegFault.so SEGFAULT_USE_ALTSTACK=1 SEGFAULT_OUTPUT_NAME=bin/bsimexe-segv-output.txt  ./bin/ubuntu.exe ; retcode=$?; exit $retcode
Start testbench:
XsimTop starting
Request 00000a00 0000010b
Request 00000a04 000003b8
Request 00000a08 000000e5
Request 00000a0c 00000320
Request 00000a10 00000151
Request 00000a14 00000248
Request 00000a18 000003b0
Request 00000a1c 00000283
Request 00000a20 00000386
Request 00000a24 00000170
Request 00000a28 000000f1
Request 00000a2c 000001e9
Request 00000a30 00000391
Request 00000a34 00000148
Request 00000a38 0000033a
Request 00000a3c 00000139
Request 00000a40 000003a5
Request 00000a44 00000250
Request 00000a48 000003d9
Request 00000a4c 00000184
Request 00000a50 000000c3
Request 00000a54 0000021f
Request 00000a58 000003c0
Request 00000a5c 00000289
Request 00000a60 00000236
Request 00000a64 000003d3
Request 00000a68 0000015e
Request 00000a6c 000003e5
Request 00000a70 00000289
Request 00000a74 0000032e
Request 00000a78 00000291
Request 00000a7c 0000004f
Request 00000a80 000000b5
Request 00000a84 000000d0
Request 00000a88 0000006f
Request 00000a8c 000003e6
Request 00000a90 0000035b
Request 00000a94 00000275
Request 00000a98 00000041
Request 00000a9c 0000034f
Request 00000aa0 00000120
Request 00000aa4 000002c0
Request 00000aa8 0000015d
Request 00000aac 000003e5
Request 00000ab0 0000008d
Request 00000ab4 000000fd
Request 00000ab8 00000389
Request 00000abc 000002cb
Request 00000ac0 00000376
Request 00000ac4 000001ae
Request 00000ac8 00000108
Request 00000acc 0000019f
Request 00000ad0 00000240
Request 00000ad4 0000021a
Request 00000ad8 000003d3
Request 00000adc 000002bc
Request 00000ae0 000002f9
Request 00000ae4 00000004
Request 00000ae8 000000f1
Request 00000aec 000001ee
Request 00000af0 000001de
Request 00000af4 00000064
Request 00000af8 000001f3
Request 00000afc 00000360
Request 00000b00 00000193
Request 00000b04 000002b5
Request 00000b08 000000de
Request 00000b0c 000001a0
Request 00000b10 000001bc
Request 00000b14 00000128
Request 00000b18 000002d1
Request 00000b1c 0000011d
Request 00000b20 000002a4
Request 00000b24 0000026c
Request 00000b28 0000013d
Request 00000b2c 0000004e
Request 00000b30 000000e0
Request 00000b34 0000015f
Request 00000b38 000003a9
Request 00000b3c 0000021c
Request 00000b40 00000120
Request 00000b44 00000286
Request 00000b48 00000077
Request 00000b4c 000000a9
Request 00000b50 00000267
Request 00000b54 0000020f
Request 00000b58 0000025e
Request 00000b5c 00000121
Request 00000b60 00000185
Request 00000b64 0000031c
Request 00000b68 0000015f
Request 00000b6c 00000321
Request 00000b70 000001c7
Request 00000b74 000002d0
Request 00000b78 00000116
Request 00000b7c 000002f6
Request 00000b80 0000016f
Request 00000b84 000002e9
Request 00000b88 00000166
Request 00000b8c 0000005c
Request 00000b90 00000248
Request 00000b94 000003dd
Request 00000b98 0000003e
Request 00000b9c 0000010f
Request 00000ba0 000003d9
Request 00000ba4 00000355
Request 00000ba8 00000193
Request 00000bac 00000314
Request 00000bb0 0000015a
Request 00000bb4 00000213
Request 00000bb8 00000205
Request 00000bbc 000000de
Request 00000bc0 0000022f
Request 00000bc4 000001cd
Request 00000bc8 0000038c
Request 00000bcc 000000f1
Request 00000bd0 00000307
Request 00000bd4 00000166
Request 00000bd8 000000ff
Request 00000bdc 0000014c
Request 00000be0 00001f3b
Request 00000be4 0003c2fa
Request 00000be8 000c33c0
Request 00000bec 00035147
Request 00000bf0 0004def8
Request 00000bf4 000003d3
Request 00000bf8 0000ffaa
Request 00000bfc 000f0bb1
Request 00000c00 00076ad5
Request 00000c04 00048896
Request 00000c08 0003823e
Request 00000c0c 0000b084
Request 00000c10 00005d54
Request 00000c14 00003400
Request 00000c18 00019b7b
Request 00000c1c 00025476
Request 00000c20 0007a798
Request 00000c24 000212b8
Request 00000c28 0000cc65
Request 00000c2c 0001cf34
Request 00000c30 0002baa0
Request 00000c34 00024180
Request 00000c38 0000082e
Request 00000c3c 0008b3ac
Request 00000c40 000200c7
Request 00000c44 00014f07
Request 00000c48 000c4a4a
Request 00000c4c 0006783b
Request 00000c50 00054cb0
Request 00000c54 0005e45c
Request 00000c58 0002cbb0
Request 00000c5c 0001719c
Request 00000c60 00087240
Request 00000c64 00001938
Request 00000c68 0001a4aa
Request 00000c6c 00096e74
Request 00000c70 000158d4
Request 00000c74 00000bb8
Request 00000c78 000116a8
Request 00000c7c 0004de94
Request 00000c80 00031b6c
Request 00000c84 0000c350
Request 00000c88 0002640e
Request 00000c8c 0005bf80
Request 00000c90 00040d69
Request 00000c94 000769a1
Request 00000c98 00029f34
Request 00000c9c 00052780
Request 00000ca0 00022944
Request 00000ca4 00046e48
Request 00000ca8 00077586
Request 00000cac 0000a6fe
Request 00000cb0 0009068c
Request 00000cb4 000695a0
Request 00000cb8 0001d198
Request 00000cbc 0000abd8
Request 00000cc0 00019ec0
Request 00000cc4 000174f0
Request 00000cc8 000d693a
Request 00000ccc 00022038
Request 00000cd0 00025e60
Request 00000cd4 000660aa
Request 00000cd8 0001087f
Request 00000cdc 00015005
Request 00000ce0 0001e7ad
Request 00000ce4 0000b528
Request 00000ce8 000296d0
Request 00000cec 0003199f
Request 00000cf0 00048153
Request 00000cf4 0008202c
Request 00000cf8 00033ee2
Request 00000cfc 00049557
Request 00000d00 00038c39
Request 00000d04 00060db0
Request 00000d08 0002c976
